titolo,categoria,ingredienti
Budino al gianduia con salsa all'arancia,DOLCI,"['Panna fresca liquida 150 g', 'Amido di mais (maizena) 35 g', 'Farina 00 15 g', 'Latte intero 250 g', 'Zucchero 65 g', 'Cioccolato gianduia 110 g', 'Gelatina in fogli 10 g', 'Amaretto (liquore) 20 g', 'Burro 50 g', 'Amaretti 75 g', ""Succo d'arancia 250 g"", ""Scorza d'arancia 1"", 'Zucchero di canna 80 g', ""Liquore all'arancia 50 g"", 'Amido di riso 15 g', 'Biscotti lingue di gatto q.b.']"
Sfogliatine di pere con Nutella®,DOLCI,"['Nutella® 75 g', 'Pere Williams 1', 'Pasta Sfoglia (rettangolare da 30x18 cm) 230 g', 'Zucchero a velo 20 g', 'Zucchero 60 g', 'Amido di mais (maizena) 2 g', 'Acqua 100 g', 'Pere Williams 10 fette', 'Zucchero q.b.']"
Monodose natalizia,DOLCI,"['Burro a temperatura ambiente 100 g', 'Zucchero di canna 80 g', 'Zucchero 40 g', 'Baccello di vaniglia 2', 'Cioccolato fondente al 70% 100 g', 'Cacao amaro in polvere 20 g', 'Bicarbonato 4', 'Farina 00 140 g', 'Fiocchi di sale 10 g', 'Litchi purea 200 g', 'Lamponi purea 50 g', 'Amido di mais (maizena) 10 g', 'Amido di riso 5 g', 'Zucchero 30 g', 'Cioccolato bianco 250 g', 'Panna fresca liquida 250 g', 'Tuorli 50 g', 'Gelatina in fogli 10 g', 'Latte intero 20 g', 'Baccello di vaniglia 1']"
Polpettine mostruose,SECONDI PIATTI,"['Ricotta di vaccina 175 gr', 'Parmigiano Reggiano DOP grattugiato 50 gr', 'Pane mollica 70 gr', 'Latte fresco 125 ml', 'Uova 1 medio', 'Pangrattato 30 g', 'Noce moscata grattugiata q.b', 'Sale fino 1 pizzico', 'Brodo vegetale 1 lt', 'Patate 600 g', 'Scalogno 1', 'Olio di oliva extravergine q.b', 'Sale fino 1 pizzico', 'Brodo vegetale 800 ml', 'Passata di pomodoro 500 gr', 'Olio di oliva extravergine q.b', 'Sale 1 pizzico', 'Basilico 3 foglie', 'Olive verdi denocciolate 3', 'Semi di sesamo nero q.b']"
Friselle con cotechino e lenticchie,ANTIPASTI,"['Friselle da 30 grammi ciascuna 4', 'Cotechino precotto (70 grammi da cotto) 100 g', 'Lenticchie secche 75 g', 'Cicoria 70 g', 'Sedano 30 g', 'Carote 30 g', 'Aglio 1 spicchio', 'Peperoncino fresco 1', 'Alloro 2 foglie', 'Olio extravergine di oliva q.b.', 'Sale fino q.b.', 'Pepe nero q.b.']"
Gelatini ai lamponi e cioccolato,DOLCI,"['Yogurt vegetale alla vaniglia 1 kg', 'Lamponi 125 g', 'Cioccolato bianco vegano 400 g', 'Zucchero a velo 2 cucchiai', 'Lamponi disidratati q.b.']"
Kiwi fritti caramellati,DOLCI,"['Kiwi SunGold 600 g', 'Farina 00 150 g', 'Lievito in polvere per dolci 6 g', 'Olio di semi di girasole 25 ml', 'Acqua 170 ml', 'Olio di semi di girasole q.b.', 'Zucchero 100 g']"
Lasagne con finferli e stelvio,PRIMI PIATTI,"[""Lasagne all'uovo (15 sfoglie) 270 g"", 'Funghi finferli (gallinacci) 800 g', 'Aglio 2 spicchi', 'Timo 5', 'Parmigiano Reggiano DOP 30 g', 'Sale fino q.b.', 'Pepe nero q.b.', 'Olio extravergine di oliva q.b.', 'Latte intero latte fieno 1 l', 'Burro 100 g', 'Formaggio Stelvio DOP, latte fieno 350 g', 'Farina 00 100 g', 'Sale fino q.b.', 'Noce moscata q.b.']"
Sfoglie con crema di lenticchie e cotechino,ANTIPASTI,"['La Bottega di Olivia&Marino 12 sfoglie classiche', 'Lenticchie di Castelluccio di Norcia, lessate al naturale, 60 gr', 'Sale q.b.', 'Pepe q.b.', 'Cotechino precotto in busta, 100 gr', 'Rosmarino 2-3 rametti', 'Cipolle 1/2 rossa', 'Carote 1/2 carota', 'Sedano 1 gamba', 'Olio di oliva extravergine q.b.']"
Lingotto di mele,DOLCI,"['Mele renette 230 g', 'Farina 00 85 g', 'Zucchero di canna 65 g', 'Uova (1 medio) 56 g', 'Lievito in polvere per dolci 6 g', 'Cannella in polvere q.b.', 'Olio di semi 55 g', 'Mele renette 1', 'Zucchero di canna q.b.']"
